Filtered file using ActigraphAuswertung V3.0
Date;Time;Activity
9/11/2009 12:00:00 AM;16:49:00;0
9/11/2009 12:00:00 AM;16:50:00;0
9/11/2009 12:00:00 AM;16:51:00;12
9/11/2009 12:00:00 AM;16:52:00;41
9/11/2009 12:00:00 AM;16:53:00;399
9/11/2009 12:00:00 AM;16:54:00;82
9/11/2009 12:00:00 AM;16:55:00;0
9/11/2009 12:00:00 AM;16:56:00;311
9/11/2009 12:00:00 AM;16:57:00;35
9/11/2009 12:00:00 AM;16:58:00;0
9/11/2009 12:00:00 AM;16:59:00;0
9/11/2009 12:00:00 AM;17:00:00;538
9/11/2009 12:00:00 AM;17:01:00;480
9/11/2009 12:00:00 AM;17:02:00;1437
9/11/2009 12:00:00 AM;17:03:00;344
9/11/2009 12:00:00 AM;17:04:00;131
9/11/2009 12:00:00 AM;17:05:00;95
9/11/2009 12:00:00 AM;17:06:00;41
9/11/2009 12:00:00 AM;17:07:00;18
9/11/2009 12:00:00 AM;17:08:00;0
9/11/2009 12:00:00 AM;17:09:00;18
9/11/2009 12:00:00 AM;17:10:00;0
9/11/2009 12:00:00 AM;17:11:00;78
9/11/2009 12:00:00 AM;17:12:00;229
9/11/2009 12:00:00 AM;17:13:00;4
9/11/2009 12:00:00 AM;17:14:00;92
9/11/2009 12:00:00 AM;17:15:00;6
9/11/2009 12:00:00 AM;17:16:00;26
9/11/2009 12:00:00 AM;17:17:00;8
9/11/2009 12:00:00 AM;17:18:00;6
9/11/2009 12:00:00 AM;17:19:00;238
9/11/2009 12:00:00 AM;17:20:00;0
9/11/2009 12:00:00 AM;17:21:00;0
9/11/2009 12:00:00 AM;17:22:00;79
9/11/2009 12:00:00 AM;17:23:00;3
9/11/2009 12:00:00 AM;17:24:00;0
9/11/2009 12:00:00 AM;17:25:00;0
9/11/2009 12:00:00 AM;17:26:00;0
9/11/2009 12:00:00 AM;17:27:00;768
9/11/2009 12:00:00 AM;17:28:00;2913
9/11/2009 12:00:00 AM;17:29:00;2653
9/11/2009 12:00:00 AM;17:30:00;2577
9/11/2009 12:00:00 AM;17:31:00;959
9/11/2009 12:00:00 AM;17:32:00;2308
9/11/2009 12:00:00 AM;17:33:00;1121
9/11/2009 12:00:00 AM;17:34:00;1073
9/11/2009 12:00:00 AM;17:35:00;2632
9/11/2009 12:00:00 AM;17:36:00;1953
9/11/2009 12:00:00 AM;17:37:00;1078
9/11/2009 12:00:00 AM;17:38:00;1447
9/11/2009 12:00:00 AM;17:39:00;1284
9/11/2009 12:00:00 AM;17:40:00;1422
9/11/2009 12:00:00 AM;17:41:00;1403
9/11/2009 12:00:00 AM;17:42:00;1671
9/11/2009 12:00:00 AM;17:43:00;2239
9/11/2009 12:00:00 AM;17:44:00;4616
9/11/2009 12:00:00 AM;17:45:00;2314
9/11/2009 12:00:00 AM;17:46:00;2188
9/11/2009 12:00:00 AM;17:47:00;766
9/11/2009 12:00:00 AM;17:48:00;2294
9/11/2009 12:00:00 AM;17:49:00;1599
9/11/2009 12:00:00 AM;17:50:00;849
9/11/2009 12:00:00 AM;17:51:00;1873
9/11/2009 12:00:00 AM;17:52:00;1512
9/11/2009 12:00:00 AM;17:53:00;3225
9/11/2009 12:00:00 AM;17:54:00;1809
9/11/2009 12:00:00 AM;17:55:00;410
9/11/2009 12:00:00 AM;17:56:00;653
9/11/2009 12:00:00 AM;17:57:00;310
9/11/2009 12:00:00 AM;17:58:00;732
9/11/2009 12:00:00 AM;17:59:00;1932
9/11/2009 12:00:00 AM;18:00:00;885
9/11/2009 12:00:00 AM;18:01:00;1005
9/11/2009 12:00:00 AM;18:02:00;2965
9/11/2009 12:00:00 AM;18:03:00;1387
9/11/2009 12:00:00 AM;18:04:00;330
9/11/2009 12:00:00 AM;18:05:00;567
9/11/2009 12:00:00 AM;18:06:00;381
9/11/2009 12:00:00 AM;18:07:00;1691
9/11/2009 12:00:00 AM;18:08:00;338
9/11/2009 12:00:00 AM;18:09:00;623
9/11/2009 12:00:00 AM;18:10:00;0
9/11/2009 12:00:00 AM;18:11:00;285
9/11/2009 12:00:00 AM;18:12:00;290
9/11/2009 12:00:00 AM;18:13:00;451
9/11/2009 12:00:00 AM;18:14:00;0
9/11/2009 12:00:00 AM;18:15:00;0
9/11/2009 12:00:00 AM;18:16:00;177
9/11/2009 12:00:00 AM;18:17:00;0
9/11/2009 12:00:00 AM;18:18:00;0
9/11/2009 12:00:00 AM;18:19:00;362
9/11/2009 12:00:00 AM;18:20:00;209
9/11/2009 12:00:00 AM;18:21:00;0
9/11/2009 12:00:00 AM;18:22:00;0
9/11/2009 12:00:00 AM;18:23:00;866
9/11/2009 12:00:00 AM;18:24:00;1080
9/11/2009 12:00:00 AM;18:25:00;787
9/11/2009 12:00:00 AM;18:26:00;824
9/11/2009 12:00:00 AM;18:27:00;4876
9/11/2009 12:00:00 AM;18:28:00;103
9/11/2009 12:00:00 AM;18:29:00;1488
9/11/2009 12:00:00 AM;18:30:00;1419
9/11/2009 12:00:00 AM;18:31:00;2386
9/11/2009 12:00:00 AM;18:32:00;2639
9/11/2009 12:00:00 AM;18:33:00;1329
9/11/2009 12:00:00 AM;18:34:00;643
9/11/2009 12:00:00 AM;18:35:00;357
9/11/2009 12:00:00 AM;18:36:00;3844
9/11/2009 12:00:00 AM;18:37:00;6041
9/11/2009 12:00:00 AM;18:38:00;1949
9/11/2009 12:00:00 AM;18:39:00;4
9/11/2009 12:00:00 AM;18:40:00;0
9/11/2009 12:00:00 AM;18:41:00;401
9/11/2009 12:00:00 AM;18:42:00;789
9/11/2009 12:00:00 AM;18:43:00;0
9/11/2009 12:00:00 AM;18:44:00;546
9/11/2009 12:00:00 AM;18:45:00;982
9/11/2009 12:00:00 AM;18:46:00;2229
9/11/2009 12:00:00 AM;18:47:00;228
9/11/2009 12:00:00 AM;18:48:00;36
9/11/2009 12:00:00 AM;18:49:00;159
9/11/2009 12:00:00 AM;18:50:00;2043
9/11/2009 12:00:00 AM;18:51:00;1531
9/11/2009 12:00:00 AM;18:52:00;211
9/11/2009 12:00:00 AM;18:53:00;51
9/11/2009 12:00:00 AM;18:54:00;71
9/11/2009 12:00:00 AM;18:55:00;389
9/11/2009 12:00:00 AM;18:56:00;679
9/11/2009 12:00:00 AM;18:57:00;846
9/11/2009 12:00:00 AM;18:58:00;449
9/11/2009 12:00:00 AM;18:59:00;1046
9/11/2009 12:00:00 AM;19:00:00;118
9/11/2009 12:00:00 AM;19:01:00;533
9/11/2009 12:00:00 AM;19:02:00;934
9/11/2009 12:00:00 AM;19:03:00;1473
9/11/2009 12:00:00 AM;19:04:00;0
9/11/2009 12:00:00 AM;19:05:00;1382
9/11/2009 12:00:00 AM;19:06:00;0
9/11/2009 12:00:00 AM;19:07:00;1925
9/11/2009 12:00:00 AM;19:08:00;797
9/11/2009 12:00:00 AM;19:09:00;1970
9/11/2009 12:00:00 AM;19:10:00;528
9/11/2009 12:00:00 AM;19:11:00;155
9/11/2009 12:00:00 AM;19:12:00;3360
9/11/2009 12:00:00 AM;19:13:00;2848
9/11/2009 12:00:00 AM;19:14:00;67
9/11/2009 12:00:00 AM;19:15:00;379
9/11/2009 12:00:00 AM;19:16:00;1859
9/11/2009 12:00:00 AM;19:17:00;1960
9/11/2009 12:00:00 AM;19:18:00;235
9/11/2009 12:00:00 AM;19:19:00;374
9/11/2009 12:00:00 AM;19:20:00;1423
9/11/2009 12:00:00 AM;19:21:00;1177
9/11/2009 12:00:00 AM;19:22:00;2690
9/11/2009 12:00:00 AM;19:23:00;1403
9/11/2009 12:00:00 AM;19:24:00;1038
9/11/2009 12:00:00 AM;19:25:00;382
9/11/2009 12:00:00 AM;19:26:00;356
9/11/2009 12:00:00 AM;19:27:00;31
9/11/2009 12:00:00 AM;19:28:00;36
9/11/2009 12:00:00 AM;19:29:00;129
9/11/2009 12:00:00 AM;19:30:00;68
9/11/2009 12:00:00 AM;19:31:00;8
9/11/2009 12:00:00 AM;19:32:00;90
9/11/2009 12:00:00 AM;19:33:00;0
9/11/2009 12:00:00 AM;19:34:00;10
9/11/2009 12:00:00 AM;19:35:00;67
9/11/2009 12:00:00 AM;19:36:00;14
9/11/2009 12:00:00 AM;19:37:00;0
9/11/2009 12:00:00 AM;19:38:00;0
9/11/2009 12:00:00 AM;19:39:00;2570
9/11/2009 12:00:00 AM;19:40:00;2399
9/11/2009 12:00:00 AM;19:41:00;2525
9/11/2009 12:00:00 AM;19:42:00;778
9/11/2009 12:00:00 AM;19:43:00;1893
9/11/2009 12:00:00 AM;19:44:00;66
9/11/2009 12:00:00 AM;19:45:00;62
9/11/2009 12:00:00 AM;19:46:00;2833
9/11/2009 12:00:00 AM;19:47:00;816
9/11/2009 12:00:00 AM;19:48:00;1449
9/11/2009 12:00:00 AM;19:49:00;1265
9/11/2009 12:00:00 AM;19:50:00;327
9/11/2009 12:00:00 AM;19:51:00;554
9/11/2009 12:00:00 AM;19:52:00;94
9/11/2009 12:00:00 AM;19:53:00;179
9/11/2009 12:00:00 AM;19:54:00;614
9/11/2009 12:00:00 AM;19:55:00;872
9/11/2009 12:00:00 AM;19:56:00;65
9/11/2009 12:00:00 AM;19:57:00;359
9/11/2009 12:00:00 AM;19:58:00;102
9/11/2009 12:00:00 AM;19:59:00;559
9/11/2009 12:00:00 AM;20:00:00;273
9/11/2009 12:00:00 AM;20:01:00;235
9/11/2009 12:00:00 AM;20:02:00;30
9/11/2009 12:00:00 AM;20:03:00;0
9/11/2009 12:00:00 AM;20:04:00;32
9/11/2009 12:00:00 AM;20:05:00;298
9/11/2009 12:00:00 AM;20:06:00;0
9/11/2009 12:00:00 AM;20:07:00;0
9/11/2009 12:00:00 AM;20:08:00;0
9/11/2009 12:00:00 AM;20:09:00;262
9/11/2009 12:00:00 AM;20:10:00;0
9/11/2009 12:00:00 AM;20:11:00;0
9/11/2009 12:00:00 AM;20:12:00;902
9/11/2009 12:00:00 AM;20:13:00;1963
9/11/2009 12:00:00 AM;20:14:00;2214
9/11/2009 12:00:00 AM;20:15:00;414
9/11/2009 12:00:00 AM;20:16:00;457
9/11/2009 12:00:00 AM;20:17:00;306
9/11/2009 12:00:00 AM;20:18:00;565
9/11/2009 12:00:00 AM;20:19:00;534
9/11/2009 12:00:00 AM;20:20:00;1043
9/11/2009 12:00:00 AM;20:21:00;86
9/11/2009 12:00:00 AM;20:22:00;1156
9/11/2009 12:00:00 AM;20:23:00;558
9/11/2009 12:00:00 AM;20:24:00;723
9/11/2009 12:00:00 AM;20:25:00;136
9/11/2009 12:00:00 AM;20:26:00;1245
9/11/2009 12:00:00 AM;20:27:00;255
9/11/2009 12:00:00 AM;20:28:00;617
9/11/2009 12:00:00 AM;20:29:00;173
9/11/2009 12:00:00 AM;20:30:00;1108
9/11/2009 12:00:00 AM;20:31:00;322
9/11/2009 12:00:00 AM;20:32:00;540
9/11/2009 12:00:00 AM;20:33:00;191
9/11/2009 12:00:00 AM;20:34:00;276
9/11/2009 12:00:00 AM;20:35:00;22
9/11/2009 12:00:00 AM;20:36:00;1486
9/11/2009 12:00:00 AM;20:37:00;385
9/11/2009 12:00:00 AM;20:38:00;333
9/11/2009 12:00:00 AM;20:39:00;312
9/11/2009 12:00:00 AM;20:40:00;187
9/11/2009 12:00:00 AM;20:41:00;96
9/11/2009 12:00:00 AM;20:42:00;1108
9/11/2009 12:00:00 AM;20:43:00;690
9/11/2009 12:00:00 AM;20:44:00;127
9/11/2009 12:00:00 AM;20:45:00;169
9/11/2009 12:00:00 AM;20:46:00;405
9/11/2009 12:00:00 AM;20:47:00;502
9/11/2009 12:00:00 AM;20:48:00;1285
9/11/2009 12:00:00 AM;20:49:00;1863
9/11/2009 12:00:00 AM;20:50:00;754
9/11/2009 12:00:00 AM;20:51:00;1493
9/11/2009 12:00:00 AM;20:52:00;111
9/11/2009 12:00:00 AM;20:53:00;246
9/11/2009 12:00:00 AM;20:54:00;16
9/11/2009 12:00:00 AM;20:55:00;0
9/11/2009 12:00:00 AM;20:56:00;178
9/11/2009 12:00:00 AM;20:57:00;418
9/11/2009 12:00:00 AM;20:58:00;436
9/11/2009 12:00:00 AM;20:59:00;1448
9/11/2009 12:00:00 AM;21:00:00;613
9/11/2009 12:00:00 AM;21:01:00;1546
9/11/2009 12:00:00 AM;21:02:00;0
9/11/2009 12:00:00 AM;21:03:00;0
9/11/2009 12:00:00 AM;21:04:00;0
9/11/2009 12:00:00 AM;21:05:00;0
9/11/2009 12:00:00 AM;21:06:00;0
9/11/2009 12:00:00 AM;21:07:00;0
9/11/2009 12:00:00 AM;21:08:00;0
9/11/2009 12:00:00 AM;21:09:00;0
9/11/2009 12:00:00 AM;21:10:00;0
9/11/2009 12:00:00 AM;21:11:00;0
9/11/2009 12:00:00 AM;21:12:00;0
9/11/2009 12:00:00 AM;21:13:00;0
9/11/2009 12:00:00 AM;21:14:00;0
9/11/2009 12:00:00 AM;21:15:00;0
9/11/2009 12:00:00 AM;21:16:00;0
9/11/2009 12:00:00 AM;21:17:00;0
9/11/2009 12:00:00 AM;21:18:00;0
9/11/2009 12:00:00 AM;21:19:00;0
9/11/2009 12:00:00 AM;21:20:00;0
9/11/2009 12:00:00 AM;21:21:00;0
9/11/2009 12:00:00 AM;21:22:00;0
9/11/2009 12:00:00 AM;21:23:00;0
9/11/2009 12:00:00 AM;21:24:00;0
9/11/2009 12:00:00 AM;21:25:00;0
9/11/2009 12:00:00 AM;21:26:00;0
9/11/2009 12:00:00 AM;21:27:00;0
9/11/2009 12:00:00 AM;21:28:00;0
9/11/2009 12:00:00 AM;21:29:00;0
9/11/2009 12:00:00 AM;21:30:00;0
9/11/2009 12:00:00 AM;21:31:00;0
9/11/2009 12:00:00 AM;21:32:00;0
9/11/2009 12:00:00 AM;21:33:00;0
9/11/2009 12:00:00 AM;21:34:00;0
9/11/2009 12:00:00 AM;21:35:00;0
9/11/2009 12:00:00 AM;21:36:00;0
9/11/2009 12:00:00 AM;21:37:00;0
9/11/2009 12:00:00 AM;21:38:00;0
9/11/2009 12:00:00 AM;21:39:00;0
9/11/2009 12:00:00 AM;21:40:00;0
9/11/2009 12:00:00 AM;21:41:00;0
9/11/2009 12:00:00 AM;21:42:00;0
9/11/2009 12:00:00 AM;21:43:00;0
9/11/2009 12:00:00 AM;21:44:00;0
9/11/2009 12:00:00 AM;21:45:00;0
9/11/2009 12:00:00 AM;21:46:00;0
9/11/2009 12:00:00 AM;21:47:00;0
9/11/2009 12:00:00 AM;21:48:00;0
9/11/2009 12:00:00 AM;21:49:00;0
9/11/2009 12:00:00 AM;21:50:00;0
9/11/2009 12:00:00 AM;21:51:00;0
9/11/2009 12:00:00 AM;21:52:00;0
9/11/2009 12:00:00 AM;21:53:00;0
9/11/2009 12:00:00 AM;21:54:00;0
9/11/2009 12:00:00 AM;21:55:00;0
9/11/2009 12:00:00 AM;21:56:00;0
9/11/2009 12:00:00 AM;21:57:00;0
9/11/2009 12:00:00 AM;21:58:00;0
9/11/2009 12:00:00 AM;21:59:00;0
9/11/2009 12:00:00 AM;22:00:00;0
9/11/2009 12:00:00 AM;22:01:00;0
9/11/2009 12:00:00 AM;22:02:00;0
9/11/2009 12:00:00 AM;22:03:00;0
9/11/2009 12:00:00 AM;22:04:00;0
9/11/2009 12:00:00 AM;22:05:00;0
9/11/2009 12:00:00 AM;22:06:00;0
9/11/2009 12:00:00 AM;22:07:00;0
9/11/2009 12:00:00 AM;22:08:00;0
9/11/2009 12:00:00 AM;22:09:00;0
9/11/2009 12:00:00 AM;22:10:00;0
9/11/2009 12:00:00 AM;22:11:00;0
9/11/2009 12:00:00 AM;22:12:00;0
9/11/2009 12:00:00 AM;22:13:00;0
9/11/2009 12:00:00 AM;22:14:00;0
9/11/2009 12:00:00 AM;22:15:00;0
9/11/2009 12:00:00 AM;22:16:00;0
9/11/2009 12:00:00 AM;22:17:00;0
9/11/2009 12:00:00 AM;22:18:00;0
9/11/2009 12:00:00 AM;22:19:00;0
9/11/2009 12:00:00 AM;22:20:00;0
9/11/2009 12:00:00 AM;22:21:00;0
9/11/2009 12:00:00 AM;22:22:00;0
9/11/2009 12:00:00 AM;22:23:00;0
9/11/2009 12:00:00 AM;22:24:00;0
9/11/2009 12:00:00 AM;22:25:00;0
9/11/2009 12:00:00 AM;22:26:00;0
9/11/2009 12:00:00 AM;22:27:00;0
9/11/2009 12:00:00 AM;22:28:00;0
9/11/2009 12:00:00 AM;22:29:00;0
9/11/2009 12:00:00 AM;22:30:00;0
9/11/2009 12:00:00 AM;22:31:00;0
9/11/2009 12:00:00 AM;22:32:00;0
9/11/2009 12:00:00 AM;22:33:00;0
9/11/2009 12:00:00 AM;22:34:00;0
9/11/2009 12:00:00 AM;22:35:00;0
9/11/2009 12:00:00 AM;22:36:00;0
9/11/2009 12:00:00 AM;22:37:00;0
9/11/2009 12:00:00 AM;22:38:00;0
9/11/2009 12:00:00 AM;22:39:00;0
9/11/2009 12:00:00 AM;22:40:00;0
9/11/2009 12:00:00 AM;22:41:00;0
9/11/2009 12:00:00 AM;22:42:00;0
9/11/2009 12:00:00 AM;22:43:00;0
9/11/2009 12:00:00 AM;22:44:00;0
9/11/2009 12:00:00 AM;22:45:00;0
9/11/2009 12:00:00 AM;22:46:00;0
9/11/2009 12:00:00 AM;22:47:00;0
9/11/2009 12:00:00 AM;22:48:00;0
9/11/2009 12:00:00 AM;22:49:00;0
9/11/2009 12:00:00 AM;22:50:00;0
9/11/2009 12:00:00 AM;22:51:00;0
9/11/2009 12:00:00 AM;22:52:00;0
9/11/2009 12:00:00 AM;22:53:00;0
9/11/2009 12:00:00 AM;22:54:00;0
9/11/2009 12:00:00 AM;22:55:00;0
9/11/2009 12:00:00 AM;22:56:00;0
9/11/2009 12:00:00 AM;22:57:00;0
9/11/2009 12:00:00 AM;22:58:00;0
9/11/2009 12:00:00 AM;22:59:00;0
9/11/2009 12:00:00 AM;23:00:00;0
9/11/2009 12:00:00 AM;23:01:00;0
9/11/2009 12:00:00 AM;23:02:00;0
9/11/2009 12:00:00 AM;23:03:00;0
9/11/2009 12:00:00 AM;23:04:00;0
9/11/2009 12:00:00 AM;23:05:00;0
9/11/2009 12:00:00 AM;23:06:00;0
9/11/2009 12:00:00 AM;23:07:00;0
9/11/2009 12:00:00 AM;23:08:00;0
9/11/2009 12:00:00 AM;23:09:00;0
9/11/2009 12:00:00 AM;23:10:00;0
9/11/2009 12:00:00 AM;23:11:00;0
9/11/2009 12:00:00 AM;23:12:00;0
9/11/2009 12:00:00 AM;23:13:00;0
9/11/2009 12:00:00 AM;23:14:00;0
9/11/2009 12:00:00 AM;23:15:00;0
9/11/2009 12:00:00 AM;23:16:00;0
9/11/2009 12:00:00 AM;23:17:00;0
9/11/2009 12:00:00 AM;23:18:00;0
9/11/2009 12:00:00 AM;23:19:00;0
9/11/2009 12:00:00 AM;23:20:00;0
9/11/2009 12:00:00 AM;23:21:00;0
9/11/2009 12:00:00 AM;23:22:00;0
9/11/2009 12:00:00 AM;23:23:00;0
9/11/2009 12:00:00 AM;23:24:00;0
9/11/2009 12:00:00 AM;23:25:00;0
9/11/2009 12:00:00 AM;23:26:00;0
9/11/2009 12:00:00 AM;23:27:00;0
9/11/2009 12:00:00 AM;23:28:00;0
9/11/2009 12:00:00 AM;23:29:00;0
9/11/2009 12:00:00 AM;23:30:00;0
9/11/2009 12:00:00 AM;23:31:00;0
9/11/2009 12:00:00 AM;23:32:00;0
9/11/2009 12:00:00 AM;23:33:00;0
9/11/2009 12:00:00 AM;23:34:00;0
9/11/2009 12:00:00 AM;23:35:00;0
9/11/2009 12:00:00 AM;23:36:00;0
9/11/2009 12:00:00 AM;23:37:00;0
9/11/2009 12:00:00 AM;23:38:00;0
9/11/2009 12:00:00 AM;23:39:00;0
9/11/2009 12:00:00 AM;23:40:00;0
9/11/2009 12:00:00 AM;23:41:00;0
9/11/2009 12:00:00 AM;23:42:00;0
9/11/2009 12:00:00 AM;23:43:00;0
9/11/2009 12:00:00 AM;23:44:00;0
9/11/2009 12:00:00 AM;23:45:00;0
9/11/2009 12:00:00 AM;23:46:00;0
9/11/2009 12:00:00 AM;23:47:00;0
9/11/2009 12:00:00 AM;23:48:00;0
9/11/2009 12:00:00 AM;23:49:00;0
9/11/2009 12:00:00 AM;23:50:00;0
9/11/2009 12:00:00 AM;23:51:00;0
9/11/2009 12:00:00 AM;23:52:00;0
9/11/2009 12:00:00 AM;23:53:00;0
9/11/2009 12:00:00 AM;23:54:00;0
9/11/2009 12:00:00 AM;23:55:00;0
9/11/2009 12:00:00 AM;23:56:00;0
9/11/2009 12:00:00 AM;23:57:00;0
9/11/2009 12:00:00 AM;23:58:00;0
9/11/2009 12:00:00 AM;23:59:00;0
9/12/2009 12:00:00 AM;00:00:00;0
9/12/2009 12:00:00 AM;00:01:00;0
9/12/2009 12:00:00 AM;00:02:00;0
9/12/2009 12:00:00 AM;00:03:00;0
9/12/2009 12:00:00 AM;00:04:00;0
9/12/2009 12:00:00 AM;00:05:00;0
9/12/2009 12:00:00 AM;00:06:00;0
9/12/2009 12:00:00 AM;00:07:00;0
9/12/2009 12:00:00 AM;00:08:00;0
9/12/2009 12:00:00 AM;00:09:00;0
9/12/2009 12:00:00 AM;00:10:00;0
9/12/2009 12:00:00 AM;00:11:00;0
9/12/2009 12:00:00 AM;00:12:00;0
9/12/2009 12:00:00 AM;00:13:00;0
9/12/2009 12:00:00 AM;00:14:00;0
9/12/2009 12:00:00 AM;00:15:00;0
9/12/2009 12:00:00 AM;00:16:00;0
9/12/2009 12:00:00 AM;00:17:00;0
9/12/2009 12:00:00 AM;00:18:00;0
9/12/2009 12:00:00 AM;00:19:00;0
9/12/2009 12:00:00 AM;00:20:00;0
9/12/2009 12:00:00 AM;00:21:00;0
9/12/2009 12:00:00 AM;00:22:00;0
9/12/2009 12:00:00 AM;00:23:00;0
9/12/2009 12:00:00 AM;00:24:00;0
9/12/2009 12:00:00 AM;00:25:00;0
9/12/2009 12:00:00 AM;00:26:00;0
9/12/2009 12:00:00 AM;00:27:00;0
9/12/2009 12:00:00 AM;00:28:00;0
9/12/2009 12:00:00 AM;00:29:00;0
9/12/2009 12:00:00 AM;00:30:00;0
9/12/2009 12:00:00 AM;00:31:00;0
9/12/2009 12:00:00 AM;00:32:00;0
9/12/2009 12:00:00 AM;00:33:00;0
9/12/2009 12:00:00 AM;00:34:00;0
9/12/2009 12:00:00 AM;00:35:00;0
9/12/2009 12:00:00 AM;00:36:00;0
